date,station,depth_m,temp_c,sal_psu,density_kg_per_m3,par,fluor_mg_per_m3,turbidity_ntu,O2_umol_per_kg,O2_pct_sat,ph
20240905,S4,67.804,8.469,32.3802,25.1491,6.02E-05,0.125,0.8238,202.537,69.987,8.118
20240905,S4,67.982,8.4594,32.3762,25.1474,4.49E-05,0.125,0.7368,202.568,69.98,8.119
20240905,S4,68.227,8.4354,32.3863,25.1589,6.02E-05,0.125,0.7281,202.542,69.939,8.119
20240905,S4,68.423,8.404,32.3829,25.1609,6.02E-05,0.125,0.8702,202.55,69.891,8.119
20240905,S4,68.526,8.3987,32.3798,25.1592,6.02E-05,0.1259,0.9195,202.265,69.783,8.119
20240905,S4,68.692,8.3965,32.3785,25.1585,6.02E-05,0.1259,0.7977,201.814,69.623,8.118
20240905,S4,69.039,8.3516,32.3959,25.1789,4.49E-05,0.125,0.7281,201.483,69.448,8.117
20240905,S4,69.45,8.2823,32.3792,25.176,4.49E-05,0.1241,0.7745,201.45,69.321,8.116
20240905,S4,69.72,8.2727,32.3716,25.1714,4.49E-05,0.1241,0.8238,201.354,69.269,8.114
20240905,S4,69.825,8.2733,32.3694,25.1696,4.49E-05,0.1177,0.7861,201.182,69.21,8.114
20240905,S4,69.883,8.2735,32.3687,25.169,4.49E-05,0.1094,0.7281,200.851,69.096,8.113
20240905,S4,69.952,8.2736,32.3684,25.1688,4.49E-05,0.1076,0.7049,200.405,68.943,8.113
20240905,S4,70.089,8.2721,32.3677,25.1685,4.49E-05,0.1085,0.6354,199.883,68.761,8.113
20240905,S4,70.346,8.274,32.3657,25.1666,4.49E-05,0.1085,0.6412,199.586,68.66,8.112
20240905,S4,70.653,8.2813,32.37,25.1689,4.49E-05,0.1076,0.6818,199.505,68.646,8.112
20240905,S4,70.879,8.2814,32.3703,25.1691,6.02E-05,0.1085,0.6818,199.51,68.648,8.112
20240905,S4,71.007,8.2827,32.3704,25.169,6.02E-05,0.1231,0.7281,199.584,68.675,8.113
20240905,S4,71.132,8.2872,32.3713,25.1691,6.02E-05,0.1231,0.7281,199.81,68.76,8.113
20240905,S4,71.286,8.2928,32.3724,25.1692,4.49E-05,0.1094,0.6412,200.142,68.884,8.113
20240905,S4,71.462,8.3005,32.3756,25.1705,4.49E-05,0.1085,0.6383,200.505,69.022,8.113
20240905,S4,71.69,8.3015,32.3778,25.1721,6.02E-05,0.1085,0.7078,200.736,69.104,8.113
20240905,S4,71.958,8.3038,32.3824,25.1754,4.49E-05,0.1094,0.7281,200.712,69.102,8.114
20240905,S4,72.221,8.3078,32.3929,25.183,4.49E-05,0.1085,0.76,200.558,69.061,8.114
20240905,S4,72.437,8.3154,32.3937,25.1825,4.49E-05,0.1076,0.7774,200.451,69.036,8.115
20240905,S4,72.615,8.3217,32.4027,25.1886,4.49E-05,0.1076,0.7252,200.421,69.039,8.115
20240905,S4,72.757,8.3157,32.4008,25.1881,4.49E-05,0.1076,0.6818,200.697,69.124,8.116
20240905,S4,72.938,8.3167,32.402,25.1888,4.49E-05,0.1076,0.7021,200.812,69.166,8.116
20240905,S4,73.206,8.3167,32.4013,25.1883,4.49E-05,0.1085,0.7281,200.756,69.146,8.117
20240905,S4,73.567,8.3157,32.4028,25.1897,4.49E-05,0.1085,0.7426,200.529,69.068,8.118
20240905,S4,73.899,8.3089,32.403,25.1907,4.49E-05,0.1085,0.7774,200.292,68.975,8.118
20240905,S4,74.098,8.3058,32.4017,25.1903,4.49E-05,0.1058,0.7687,200.161,68.925,8.118
20240905,S4,74.156,8.3052,32.4007,25.1896,4.49E-05,0.0939,0.731,200.234,68.949,8.118
20240905,S4,74.189,8.3037,32.4009,25.1899,4.49E-05,0.0939,0.7252,200.249,68.952,8.118
20240905,S4,74.348,8.3001,32.402,25.1913,6.02E-05,0.1085,0.589,199.968,68.85,8.119
20240905,S4,74.671,8.2838,32.4063,25.1971,4.49E-05,0.1076,0.589,199.437,68.644,8.119
20240905,S4,75.073,8.2756,32.4063,25.1983,4.49E-05,0.1085,0.6789,199.109,68.519,8.118
20240905,S4,75.419,8.2737,32.4062,25.1985,4.49E-05,0.1076,0.6847,199.089,68.509,8.118
20240905,S4,75.6,8.2699,32.4091,25.2013,6.02E-05,0.1076,0.7571,199.395,68.61,8.119
20240905,S4,75.692,8.2678,32.4111,25.2032,4.49E-05,0.1076,0.7774,199.8,68.747,8.119
20240905,S4,75.794,8.2668,32.414,25.2057,4.49E-05,0.1085,0.6818,199.964,68.803,8.119
20240905,S4,75.98,8.2704,32.4197,25.2096,4.49E-05,0.1085,0.6354,199.736,68.733,8.119
20240905,S4,76.24,8.276,32.4251,25.213,4.49E-05,0.1085,0.6644,199.404,68.63,8.119
20240905,S4,76.511,8.2806,32.4276,25.2142,4.49E-05,0.1094,0.6818,199.262,68.59,8.119
20240905,S4,76.761,8.2865,32.428,25.2138,4.49E-05,0.103,0.7223,199.271,68.602,8.119
20240905,S4,76.94,8.2893,32.4314,25.216,4.49E-05,0.0948,0.7774,199.516,68.692,8.119
20240905,S4,77.023,8.292,32.4312,25.2155,4.49E-05,0.0948,0.7455,199.71,68.763,8.12
20240905,S4,77.11,8.2938,32.4346,25.2178,4.49E-05,0.0948,0.6818,199.874,68.824,8.12
20240905,S4,77.276,8.2927,32.436,25.2191,6.02E-05,0.0948,0.6731,200.012,68.87,8.12
20240905,S4,77.444,8.2828,32.4413,25.2247,4.49E-05,0.0939,0.6354,200.015,68.859,8.121
20240905,S4,77.63,8.2778,32.4485,25.2311,4.49E-05,0.0929,0.6412,199.88,68.809,8.121
20240905,S4,77.892,8.2811,32.4642,25.2429,4.49E-05,0.0939,0.731,199.733,68.771,8.121
20240905,S4,78.173,8.2728,32.4752,25.2528,4.49E-05,0.0939,0.731,199.712,68.756,8.12
20240905,S4,78.393,8.2689,32.4766,25.2545,4.49E-05,0.1076,0.905,199.644,68.728,8.12
20240905,S4,78.589,8.2668,32.478,25.2559,6.02E-05,0.1085,0.9166,199.386,68.636,8.12
20240905,S4,78.798,8.2615,32.4809,25.2589,4.49E-05,0.0957,0.9601,198.985,68.492,8.119
20240905,S4,78.967,8.2579,32.4817,25.2601,6.02E-05,0.0939,0.9659,198.556,68.339,8.119
20240905,S4,79.069,8.2494,32.4847,25.2637,4.49E-05,0.1039,0.9311,198.165,68.193,8.119
20240905,S4,79.22,8.2407,32.4844,25.2647,4.49E-05,0.1085,0.9166,197.785,68.049,8.119
20240905,S4,79.457,8.2241,32.4874,25.2696,4.49E-05,0.1085,0.9166,197.41,67.896,8.118
20240905,S4,79.738,8.2118,32.4867,25.2708,4.49E-05,0.1085,0.9195,197.027,67.745,8.117
20240905,S4,80.017,8.2066,32.4864,25.2713,4.49E-05,0.1012,0.9833,196.627,67.6,8.117
20240905,S4,80.201,8.1999,32.487,25.2728,4.49E-05,0.0929,1.0587,196.483,67.54,8.117
20240905,S4,80.308,8.1915,32.4896,25.276,4.49E-05,0.092,1.0094,196.513,67.539,8.117
20240905,S4,80.442,8.1817,32.4921,25.2794,4.49E-05,0.0929,0.9166,196.539,67.535,8.117
20240905,S4,80.605,8.1553,32.4946,25.2853,4.49E-05,0.0957,0.9253,196.766,67.574,8.117
20240905,S4,80.805,8.1323,32.4937,25.2879,4.49E-05,0.1085,0.9659,197.001,67.619,8.117
20240905,S4,81.085,8.1032,32.4897,25.289,4.49E-05,0.1076,0.9775,197.181,67.635,8.116
20240905,S4,81.369,8.0788,32.4887,25.2918,4.49E-05,0.1076,1.105,197.212,67.608,8.115
20240905,S4,81.499,8.0685,32.4806,25.2869,4.49E-05,0.1085,1.105,196.919,67.488,8.114
20240905,S4,81.572,8.0657,32.4825,25.2888,4.49E-05,0.0948,1.0152,196.485,67.336,8.113
20240905,S4,81.779,8.018,32.4899,25.3015,4.49E-05,0.0939,1.0123,196.298,67.203,8.113
20240905,S4,82.104,7.9652,32.4814,25.3025,4.49E-05,0.1067,0.9717,196.283,67.114,8.112
20240905,S4,82.406,7.9307,32.4764,25.3035,4.49E-05,0.1094,0.963,196.073,66.988,8.11
20240905,S4,82.55,7.9169,32.4708,25.3011,4.49E-05,0.0993,1.0992,195.576,66.795,8.108
20240905,S4,82.593,7.9187,32.4692,25.2996,4.49E-05,0.0948,1.1514,194.806,66.534,8.107
20240905,S4,82.718,7.9083,32.4682,25.3003,4.49E-05,0.0939,1.0094,194.245,66.326,8.106
20240905,S4,83.016,7.9212,32.4689,25.299,4.49E-05,0.0939,0.9166,193.842,66.208,8.105
20240905,S4,83.396,7.9148,32.4793,25.3081,6.02E-05,0.1021,1.0703,193.671,66.145,8.103
20240905,S4,83.601,7.9099,32.4801,25.3094,6.02E-05,0.1103,1.2471,193.536,66.092,8.102
20240905,S4,83.582,7.9137,32.4777,25.307,4.49E-05,0.1103,1.2297,193.232,65.993,8.102
20240905,S4,83.525,7.9148,32.4776,25.3068,6.02E-05,0.1103,1.1978,192.891,65.878,8.102
20240905,S4,83.583,7.9104,32.4789,25.3084,4.49E-05,0.1094,1.163,192.62,65.78,8.102
20240905,S4,83.847,7.9051,32.4806,25.3105,4.49E-05,0.1094,1.0587,192.285,65.658,8.102
20240905,S4,84.24,7.8816,32.4856,25.3178,6.02E-05,0.1085,1.0789,192.153,65.581,8.102
20240905,S4,84.576,7.8644,32.4892,25.3231,4.49E-05,0.1076,1.2471,192.147,65.555,8.102
20240905,S4,84.774,7.8338,32.4918,25.3295,4.49E-05,0.1076,1.2471,192.319,65.57,8.101
20240905,S4,84.91,7.8252,32.4848,25.3252,4.49E-05,0.1085,1.3834,192.448,65.598,8.101
20240905,S4,85.083,7.8059,32.4903,25.3323,4.49E-05,0.1085,1.3863,192.406,65.557,8.101
20240905,S4,85.303,7.7484,32.4895,25.3398,4.49E-05,0.0948,1.3486,192.341,65.45,8.101
